,caseid,Country code and phase,Cluster number,Household number,Respondent's line number ,Ultimate area unit,Women's individual sample weight (6 decimals),Month of interview,Year of interview,Date of interview (CMC),Respondent's month of birth,Respondent's year of birth,Date of birth (CMC),Respondent's current age,Age in 5-year groups,Total children ever born,Sons at home,Daughters at home,Sons elsewhere,Daughters elsewhere,Sons who have died,Daughters who have died
2578,66 27  8,ZZ6,66,27,8,66,6683679,8,2015,1388,3,1977,927,38,35-39,1,1,0,0,0,0,0
2579,66 27 13,ZZ6,66,27,13,66,6683679,8,2015,1388,3,1998,1179,17,15-19,0,0,0,0,0,0,0
2580,66 27 17,ZZ6,66,27,17,66,6683679,8,2015,1388,1,1979,949,36,35-39,4,1,0,1,2,0,0
2581,66 28  2,ZZ6,66,28,2,66,6683679,8,2015,1388,7,1979,955,36,35-39,2,1,1,0,0,0,0
2582,66 28  4,ZZ6,66,28,4,66,6683679,8,2015,1388,2,1997,1166,18,15-19,0,0,0,0,0,0,0
2583,66 29  2,ZZ6,66,29,2,66,6683679,8,2015,1388,5,1971,857,44,40-44,5,1,1,2,1,0,0
2584,66 29  4,ZZ6,66,29,4,66,6683679,8,2015,1388,4,1992,1108,23,20-24,0,0,0,0,0,0,0
2585,66 30  3,ZZ6,66,30,3,66,6683679,8,2015,1388,4,1986,1036,29,25-29,0,0,0,0,0,0,0
2586,66 31  2,ZZ6,66,31,2,66,6683679,8,2015,1388,4,1977,928,38,35-39,5,2,1,1,1,0,0
2587,67  1  2,ZZ6,67,1,2,67,1017755,7,2015,1387,6,1987,1050,28,25-29,4,1,1,0,0,2,0
2588,67  5  3,ZZ6,67,5,3,67,1017755,7,2015,1387,3,1987,1047,28,25-29,2,0,1,0,0,1,0
2589,67  6  2,ZZ6,67,6,2,67,1017755,7,2015,1387,10,1969,838,45,45-49,5,1,2,0,0,1,1
2590,67  7  2,ZZ6,67,7,2,67,1017755,7,2015,1387,3,1980,963,35,35-39,5,0,0,0,2,1,2
2591,67  8  2,ZZ6,67,8,2,67,1017755,7,2015,1387,3,1972,867,43,40-44,5,0,2,1,1,0,1
2592,67  8  4,ZZ6,67,8,4,67,1017755,7,2015,1387,3,1999,1191,16,15-19,0,0,0,0,0,0,0
2593,67  9  2,ZZ6,67,9,2,67,1017755,7,2015,1387,1,1968,817,47,45-49,4,0,1,0,1,0,2
2594,67 10  2,ZZ6,67,10,2,67,1017755,7,2015,1387,10,1981,982,33,30-34,6,2,0,0,0,2,2
2595,67 11  2,ZZ6,67,11,2,67,1017755,7,2015,1387,2,1975,902,40,40-44,8,0,1,2,0,3,2
2596,67 11  5,ZZ6,67,11,5,67,1017755,7,2015,1387,5,1986,1037,29,25-29,3,0,1,0,1,0,1
2597,67 12  2,ZZ6,67,12,2,67,1017755,7,2015,1387,2,1993,1118,22,20-24,3,2,0,1,0,0,0
2598,67 15  2,ZZ6,67,15,2,67,1017755,7,2015,1387,12,1990,1092,24,20-24,2,0,1,0,0,1,0
2599,67 16  2,ZZ6,67,16,2,67,1017755,7,2015,1387,1,1985,1021,30,30-34,2,0,0,1,0,1,0
2600,67 17  2,ZZ6,67,17,2,67,1017755,7,2015,1387,7,1996,1159,19,15-19,0,0,0,0,0,0,0
2601,67 17  3,ZZ6,67,17,3,67,1017755,7,2015,1387,2,1998,1178,17,15-19,0,0,0,0,0,0,0
2602,67 18  1,ZZ6,67,18,1,67,1017755,7,2015,1387,2,1983,998,32,30-34,6,0,2,0,1,3,0
2603,67 20  2,ZZ6,67,20,2,67,1017755,7,2015,1387,2,1995,1142,20,20-24,1,1,0,0,0,0,0
2604,67 21  3,ZZ6,67,21,3,67,1017755,7,2015,1387,11,1977,935,37,35-39,8,2,2,1,1,0,2
2605,67 22  1,ZZ6,67,22,1,67,1017755,7,2015,1387,6,1972,870,43,40-44,7,0,2,1,2,0,2
2606,67 23  2,ZZ6,67,23,2,67,1017755,7,2015,1387,5,1992,1109,23,20-24,1,0,1,0,0,0,0
2607,67 23  6,ZZ6,67,23,6,67,1017755,7,2015,1387,12,1984,1020,30,30-34,3,1,1,0,0,0,1
2608,67 24  1,ZZ6,67,24,1,67,1017755,7,2015,1387,4,1980,964,35,35-39,7,3,0,2,0,0,2
2609,67 25  2,ZZ6,67,25,2,67,1017755,7,2015,1387,2,1980,962,35,35-39,12,1,1,3,0,5,2
2610,67 28  2,ZZ6,67,28,2,67,1017755,7,2015,1387,1,1986,1033,29,25-29,8,3,2,0,2,0,1
2611,67 29  3,ZZ6,67,29,3,67,1017755,7,2015,1387,1,1988,1057,27,25-29,6,0,2,1,1,2,0
2612,67 30  2,ZZ6,67,30,2,67,1017755,7,2015,1387,6,1988,1062,27,25-29,2,1,0,0,0,0,1
2613,68  2  3,ZZ6,68,2,3,68,1579736,7,2015,1387,2,1983,998,32,30-34,8,1,0,3,1,0,3
2614,68  3  2,ZZ6,68,3,2,68,1579736,7,2015,1387,2,1967,806,48,45-49,6,0,1,2,2,1,0
2615,68  4  2,ZZ6,68,4,2,68,1579736,7,2015,1387,4,1985,1024,30,30-34,8,4,1,2,0,1,0
2616,68  8  2,ZZ6,68,8,2,68,1579736,7,2015,1387,5,1987,1049,28,25-29,4,3,1,0,0,0,0
2617,68 11  2,ZZ6,68,11,2,68,1579736,7,2015,1387,2,1982,986,33,30-34,4,0,2,0,0,0,2
2618,68 11  3,ZZ6,68,11,3,68,1579736,7,2015,1387,8,1977,932,37,35-39,7,2,2,2,1,0,0
2619,68 11  4,ZZ6,68,11,4,68,1579736,7,2015,1387,10,1987,1054,27,25-29,2,2,0,0,0,0,0
2620,68 11  6,ZZ6,68,11,6,68,1579736,7,2015,1387,9,1997,1173,17,15-19,0,0,0,0,0,0,0
2621,68 13  1,ZZ6,68,13,1,68,1579736,7,2015,1387,5,1982,989,33,30-34,4,0,4,0,0,0,0
2622,68 14  2,ZZ6,68,14,2,68,1579736,7,2015,1387,10,1996,1162,18,15-19,2,0,1,0,0,1,0
2623,68 16  2,ZZ6,68,16,2,68,1579736,7,2015,1387,5,1970,845,45,45-49,10,1,1,3,1,3,1
2624,68 17  1,ZZ6,68,17,1,68,1579736,7,2015,1387,4,1989,1072,26,25-29,6,1,1,0,1,2,1
2625,68 19  1,ZZ6,68,19,1,68,1579736,7,2015,1387,4,1985,1024,30,30-34,4,1,2,0,0,0,1
2626,68 21  2,ZZ6,68,21,2,68,1579736,7,2015,1387,12,1979,960,35,35-39,4,1,0,2,0,0,1
2627,68 26  2,ZZ6,68,26,2,68,1579736,7,2015,1387,4,1977,928,38,35-39,6,1,4,0,1,0,0
2628,68 27  2,ZZ6,68,27,2,68,1579736,7,2015,1387,10,1982,994,32,30-34,4,3,1,0,0,0,0
2629,68 28  1,ZZ6,68,28,1,68,1579736,7,2015,1387,10,1986,1042,28,25-29,6,2,0,2,1,1,0
2630,68 30  2,ZZ6,68,30,2,68,1579736,7,2015,1387,3,1997,1167,18,15-19,1,0,1,0,0,0,0
2631,68 31  2,ZZ6,68,31,2,68,1579736,7,2015,1387,9,1991,1101,23,20-24,4,2,1,0,0,1,0
2632,69  1  2,ZZ6,69,1,2,69,790923,9,2015,1389,2,1981,974,34,30-34,6,2,3,0,0,0,1
2633,69  1  3,ZZ6,69,1,3,69,790923,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
2634,69  3  2,ZZ6,69,3,2,69,790923,9,2015,1389,5,1993,1121,22,20-24,1,1,0,0,0,0,0
2635,69  4  2,ZZ6,69,4,2,69,790923,9,2015,1389,1,2000,1201,15,15-19,1,0,1,0,0,0,0
2636,69  4  9,ZZ6,69,4,9,69,790923,9,2015,1389,9,1990,1089,25,25-29,4,2,2,0,0,0,0
2637,69  4 10,ZZ6,69,4,10,69,790923,9,2015,1389,2,1995,1142,20,20-24,1,1,0,0,0,0,0
2638,69  5  2,ZZ6,69,5,2,69,790923,9,2015,1389,2,1985,1022,30,30-34,4,2,2,0,0,0,0
2639,69  6  2,ZZ6,69,6,2,69,790923,9,2015,1389,7,1998,1183,17,15-19,0,0,0,0,0,0,0
2640,69  6  3,ZZ6,69,6,3,69,790923,9,2015,1389,5,1999,1193,16,15-19,0,0,0,0,0,0,0
2641,69  6  5,ZZ6,69,6,5,69,790923,9,2015,1389,2,1999,1190,16,15-19,0,0,0,0,0,0,0
2642,69  7  2,ZZ6,69,7,2,69,790923,9,2015,1389,3,1983,999,32,30-34,5,0,1,2,1,1,0
2643,69  7  4,ZZ6,69,7,4,69,790923,9,2015,1389,9,2000,1209,15,15-19,0,0,0,0,0,0,0
2644,69  8  1,ZZ6,69,8,1,69,790923,9,2015,1389,6,1989,1074,26,25-29,1,0,1,0,0,0,0
2645,69  8  2,ZZ6,69,8,2,69,790923,9,2015,1389,9,1992,1113,23,20-24,0,0,0,0,0,0,0
2646,69  8  3,ZZ6,69,8,3,69,790923,9,2015,1389,2,1982,986,33,30-34,3,1,0,1,1,0,0
2647,69  9  2,ZZ6,69,9,2,69,790923,9,2015,1389,1,1984,1009,31,30-34,3,2,1,0,0,0,0
2648,69 10  3,ZZ6,69,10,3,69,790923,9,2015,1389,4,2000,1204,15,15-19,0,0,0,0,0,0,0
2649,69 11  2,ZZ6,69,11,2,69,790923,9,2015,1389,8,1987,1052,28,25-29,3,3,0,0,0,0,0
2650,69 12  2,ZZ6,69,12,2,69,790923,9,2015,1389,3,1995,1143,20,20-24,1,1,0,0,0,0,0
2651,69 12  4,ZZ6,69,12,4,69,790923,9,2015,1389,4,2000,1204,15,15-19,0,0,0,0,0,0,0
2652,69 13  2,ZZ6,69,13,2,69,790923,9,2015,1389,3,1987,1047,28,25-29,3,1,2,0,0,0,0
2653,69 14  2,ZZ6,69,14,2,69,790923,9,2015,1389,4,1988,1060,27,25-29,4,2,1,0,0,1,0
2654,69 15  2,ZZ6,69,15,2,69,790923,9,2015,1389,4,1990,1084,25,25-29,2,1,1,0,0,0,0
2655,69 15  6,ZZ6,69,15,6,69,790923,9,2015,1389,7,1998,1183,17,15-19,0,0,0,0,0,0,0
2656,69 16  1,ZZ6,69,16,1,69,790923,9,2015,1389,5,1967,809,48,45-49,3,1,1,0,1,0,0
2657,69 16  4,ZZ6,69,16,4,69,790923,9,2015,1389,1,2000,1201,15,15-19,0,0,0,0,0,0,0
2658,69 17  2,ZZ6,69,17,2,69,790923,9,2015,1389,2,1993,1118,22,20-24,2,1,0,1,0,0,0
2659,69 17  4,ZZ6,69,17,4,69,790923,9,2015,1389,6,1999,1194,16,15-19,0,0,0,0,0,0,0
2660,69 18  3,ZZ6,69,18,3,69,790923,9,2015,1389,6,1985,1026,30,30-34,3,2,0,1,0,0,0
2661,69 18  4,ZZ6,69,18,4,69,790923,9,2015,1389,6,2000,1206,15,15-19,0,0,0,0,0,0,0
2662,69 19  2,ZZ6,69,19,2,69,790923,9,2015,1389,2,1983,998,32,30-34,3,2,0,0,1,0,0
2663,69 19  5,ZZ6,69,19,5,69,790923,9,2015,1389,6,1997,1170,18,15-19,0,0,0,0,0,0,0
2664,69 20  2,ZZ6,69,20,2,69,790923,9,2015,1389,3,1990,1083,25,25-29,3,1,1,0,1,0,0
2665,69 20  5,ZZ6,69,20,5,69,790923,9,2015,1389,4,1999,1192,16,15-19,0,0,0,0,0,0,0
2666,69 21  2,ZZ6,69,21,2,69,790923,9,2015,1389,8,1977,932,38,35-39,5,2,3,0,0,0,0
2667,69 21  3,ZZ6,69,21,3,69,790923,9,2015,1389,4,2000,1204,15,15-19,0,0,0,0,0,0,0
2668,69 22  2,ZZ6,69,22,2,69,790923,9,2015,1389,1,1970,841,45,45-49,5,1,0,3,1,0,0
2669,69 22  5,ZZ6,69,22,5,69,790923,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
2670,69 24  2,ZZ6,69,24,2,69,790923,9,2015,1389,5,1983,1001,32,30-34,3,2,1,0,0,0,0
2671,69 24  7,ZZ6,69,24,7,69,790923,9,2015,1389,7,2000,1207,15,15-19,0,0,0,0,0,0,0
2672,69 25  2,ZZ6,69,25,2,69,790923,9,2015,1389,4,1993,1120,22,20-24,1,1,0,0,0,0,0
2673,69 25  4,ZZ6,69,25,4,69,790923,9,2015,1389,3,1999,1191,16,15-19,0,0,0,0,0,0,0
2674,69 26  2,ZZ6,69,26,2,69,790923,9,2015,1389,2,1995,1142,20,20-24,0,0,0,0,0,0,0
2675,69 26  3,ZZ6,69,26,3,69,790923,9,2015,1389,2,2000,1202,15,15-19,0,0,0,0,0,0,0
2676,69 26  5,ZZ6,69,26,5,69,790923,9,2015,1389,8,1980,968,35,35-39,4,1,2,0,0,0,1
2677,69 27  3,ZZ6,69,27,3,69,790923,9,2015,1389,6,1989,1074,26,25-29,0,0,0,0,0,0,0
2678,69 27  4,ZZ6,69,27,4,69,790923,9,2015,1389,6,1991,1098,24,20-24,0,0,0,0,0,0,0
2679,69 28  2,ZZ6,69,28,2,69,790923,9,2015,1389,3,1977,927,38,35-39,5,1,3,1,0,0,0
2680,69 28  3,ZZ6,69,28,3,69,790923,9,2015,1389,7,1997,1171,18,15-19,1,1,0,0,0,0,0
2681,69 29  1,ZZ6,69,29,1,69,790923,9,2015,1389,4,1980,964,35,35-39,2,1,0,1,0,0,0
2682,69 29  2,ZZ6,69,29,2,69,790923,9,2015,1389,2,2000,1202,15,15-19,0,0,0,0,0,0,0
2683,69 30  2,ZZ6,69,30,2,69,790923,9,2015,1389,6,1997,1170,18,15-19,0,0,0,0,0,0,0
2684,69 30  4,ZZ6,69,30,4,69,790923,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
2685,69 31  2,ZZ6,69,31,2,69,790923,9,2015,1389,8,1975,908,40,40-44,5,2,2,1,0,0,0
2686,69 31  4,ZZ6,69,31,4,69,790923,9,2015,1389,4,1997,1168,18,15-19,0,0,0,0,0,0,0
2687,69 31  7,ZZ6,69,31,7,69,790923,9,2015,1389,5,1995,1145,20,20-24,1,0,1,0,0,0,0
2688,70  1  2,ZZ6,70,1,2,70,356009,7,2015,1387,2,1996,1154,19,15-19,1,0,1,0,0,0,0
2689,70  2  2,ZZ6,70,2,2,70,356009,7,2015,1387,4,1970,844,45,45-49,11,2,1,0,3,1,4
2690,70  3  2,ZZ6,70,3,2,70,356009,7,2015,1387,4,1989,1072,26,25-29,3,0,2,0,1,0,0
2691,70  4  2,ZZ6,70,4,2,70,356009,7,2015,1387,4,1975,904,40,40-44,5,3,0,0,0,2,0
2692,70  5  3,ZZ6,70,5,3,70,356009,7,2015,1387,5,1997,1169,18,15-19,0,0,0,0,0,0,0
2693,70  5  4,ZZ6,70,5,4,70,356009,7,2015,1387,2,1993,1118,22,20-24,0,0,0,0,0,0,0
2694,70  6  2,ZZ6,70,6,2,70,356009,7,2015,1387,2,1977,926,38,35-39,6,3,3,0,0,0,0
2695,70  8  2,ZZ6,70,8,2,70,356009,7,2015,1387,3,1976,915,39,35-39,7,0,5,1,0,1,0
2696,70  8  3,ZZ6,70,8,3,70,356009,7,2015,1387,6,1997,1170,18,15-19,0,0,0,0,0,0,0
2697,70  8  7,ZZ6,70,8,7,70,356009,7,2015,1387,4,1987,1048,28,25-29,6,2,1,2,1,0,0
2698,70  8 11,ZZ6,70,8,11,70,356009,7,2015,1387,3,1980,963,35,35-39,1,0,0,0,1,0,0
2699,70 11  2,ZZ6,70,11,2,70,356009,7,2015,1387,12,1989,1080,25,25-29,6,1,1,0,1,1,2
2700,70 12  2,ZZ6,70,12,2,70,356009,7,2015,1387,5,1991,1097,24,20-24,7,2,0,0,0,2,3
2701,70 14  5,ZZ6,70,14,5,70,356009,7,2015,1387,7,1995,1147,20,20-24,0,0,0,0,0,0,0
2702,70 15  2,ZZ6,70,15,2,70,356009,7,2015,1387,2,1995,1142,20,20-24,1,0,1,0,0,0,0
2703,70 16  2,ZZ6,70,16,2,70,356009,7,2015,1387,5,1998,1181,17,15-19,0,0,0,0,0,0,0
2704,70 18  2,ZZ6,70,18,2,70,356009,7,2015,1387,5,1980,965,35,35-39,4,0,2,1,1,0,0
2705,70 20  2,ZZ6,70,20,2,70,356009,7,2015,1387,3,1978,939,37,35-39,8,4,1,1,1,1,0
2706,70 21  2,ZZ6,70,21,2,70,356009,7,2015,1387,5,1984,1013,31,30-34,2,1,1,0,0,0,0
2707,70 23  5,ZZ6,70,23,5,70,356009,7,2015,1387,1,1988,1057,27,25-29,4,2,1,1,0,0,0
2708,70 24  2,ZZ6,70,24,2,70,356009,7,2015,1387,4,1993,1120,22,20-24,0,0,0,0,0,0,0
2709,70 26  2,ZZ6,70,26,2,70,356009,7,2015,1387,10,1988,1066,26,25-29,4,1,0,2,0,1,0
2710,70 27  2,ZZ6,70,27,2,70,356009,7,2015,1387,1,1991,1093,24,20-24,3,1,2,0,0,0,0
2711,70 29  2,ZZ6,70,29,2,70,356009,7,2015,1387,1,1983,997,32,30-34,5,4,1,0,0,0,0
2712,70 31  1,ZZ6,70,31,1,70,356009,7,2015,1387,4,1982,988,33,30-34,4,2,1,0,1,0,0
2713,71  1  2,ZZ6,71,1,2,71,779821,9,2015,1389,4,1996,1156,19,15-19,2,0,1,0,0,1,0
2714,71  1  4,ZZ6,71,1,4,71,779821,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
2715,71  2  3,ZZ6,71,2,3,71,779821,9,2015,1389,2,1994,1130,21,20-24,2,0,2,0,0,0,0
2716,71  3  2,ZZ6,71,3,2,71,779821,9,2015,1389,9,1976,921,39,35-39,5,4,1,0,0,0,0
2717,71  3  8,ZZ6,71,3,8,71,779821,9,2015,1389,5,1974,893,41,40-44,2,2,0,0,0,0,0
2718,71  4  1,ZZ6,71,4,1,71,779821,9,2015,1389,3,1988,1059,27,25-29,2,1,0,0,0,1,0
2719,71  5  1,ZZ6,71,5,1,71,779821,9,2015,1389,4,1985,1024,30,30-34,4,1,1,0,0,0,2
2720,71  5  6,ZZ6,71,5,6,71,779821,9,2015,1389,3,1998,1179,17,15-19,0,0,0,0,0,0,0
2721,71  6  2,ZZ6,71,6,2,71,779821,9,2015,1389,3,1998,1179,17,15-19,0,0,0,0,0,0,0
2722,71  7  1,ZZ6,71,7,1,71,779821,9,2015,1389,1,1993,1117,22,20-24,2,0,2,0,0,0,0
2723,71  8  6,ZZ6,71,8,6,71,779821,9,2015,1389,3,1997,1167,18,15-19,0,0,0,0,0,0,0
2724,71  8  7,ZZ6,71,8,7,71,779821,9,2015,1389,6,1985,1026,30,30-34,4,1,1,0,0,0,2
2725,71  9  3,ZZ6,71,9,3,71,779821,9,2015,1389,4,1976,916,39,35-39,8,1,2,2,0,1,2
2726,71  9  4,ZZ6,71,9,4,71,779821,9,2015,1389,6,1997,1170,18,15-19,1,0,1,0,0,0,0
2727,71 10  1,ZZ6,71,10,1,71,779821,9,2015,1389,3,1976,915,39,35-39,5,4,0,0,1,0,0
2728,71 11  2,ZZ6,71,11,2,71,779821,9,2015,1389,3,1975,903,40,40-44,8,1,1,2,0,1,3
2729,71 12  7,ZZ6,71,12,7,71,779821,9,2015,1389,3,1999,1191,16,15-19,0,0,0,0,0,0,0
2730,71 13  1,ZZ6,71,13,1,71,779821,9,2015,1389,11,1979,959,35,35-39,4,3,0,0,0,0,1
2731,71 14  1,ZZ6,71,14,1,71,779821,9,2015,1389,2,1981,974,34,30-34,2,0,1,0,0,1,0
2732,71 14  4,ZZ6,71,14,4,71,779821,9,2015,1389,6,1982,990,33,30-34,2,1,1,0,0,0,0
2733,71 14  7,ZZ6,71,14,7,71,779821,9,2015,1389,1,1987,1045,28,25-29,2,0,1,0,1,0,0
2734,71 15  2,ZZ6,71,15,2,71,779821,9,2015,1389,3,1973,879,42,40-44,4,2,1,0,0,1,0
2735,71 15  8,ZZ6,71,15,8,71,779821,9,2015,1389,9,2000,1209,15,15-19,0,0,0,0,0,0,0
2736,71 16  2,ZZ6,71,16,2,71,779821,9,2015,1389,2,1985,1022,30,30-34,4,1,0,1,2,0,0
2737,71 17  1,ZZ6,71,17,1,71,779821,9,2015,1389,6,1984,1014,31,30-34,4,0,1,0,3,0,0
2738,71 17  4,ZZ6,71,17,4,71,779821,9,2015,1389,4,1985,1024,30,30-34,3,0,0,1,2,0,0
2739,71 17  6,ZZ6,71,17,6,71,779821,9,2015,1389,2,1999,1190,16,15-19,0,0,0,0,0,0,0
2740,71 18  3,ZZ6,71,18,3,71,779821,9,2015,1389,3,1976,915,39,35-39,4,0,0,2,0,2,0
2741,71 18  6,ZZ6,71,18,6,71,779821,9,2015,1389,8,1991,1100,24,20-24,0,0,0,0,0,0,0
2742,71 18  7,ZZ6,71,18,7,71,779821,9,2015,1389,9,1985,1029,30,30-34,2,0,2,0,0,0,0
2743,71 19  2,ZZ6,71,19,2,71,779821,9,2015,1389,3,1996,1155,19,15-19,1,0,1,0,0,0,0
2744,71 20  1,ZZ6,71,20,1,71,779821,9,2015,1389,3,1980,963,35,35-39,4,3,1,0,0,0,0
2745,71 21  3,ZZ6,71,21,3,71,779821,9,2015,1389,1,1990,1081,25,25-29,2,0,2,0,0,0,0
2746,71 22  3,ZZ6,71,22,3,71,779821,9,2015,1389,1,1997,1165,18,15-19,0,0,0,0,0,0,0
2747,71 22  4,ZZ6,71,22,4,71,779821,9,2015,1389,6,2000,1206,15,15-19,0,0,0,0,0,0,0
2748,71 23  2,ZZ6,71,23,2,71,779821,9,2015,1389,4,1990,1084,25,25-29,1,0,0,0,1,0,0
2749,71 23  3,ZZ6,71,23,3,71,779821,9,2015,1389,2,1998,1178,17,15-19,0,0,0,0,0,0,0
2750,71 24  1,ZZ6,71,24,1,71,779821,9,2015,1389,3,1994,1131,21,20-24,0,0,0,0,0,0,0
2751,71 25  1,ZZ6,71,25,1,71,779821,9,2015,1389,3,1974,891,41,40-44,5,4,0,0,0,1,0
2752,71 26  2,ZZ6,71,26,2,71,779821,9,2015,1389,9,1995,1149,20,20-24,0,0,0,0,0,0,0
2753,71 27  2,ZZ6,71,27,2,71,779821,9,2015,1389,2,1988,1058,27,25-29,1,0,0,0,0,0,1
2754,71 27  3,ZZ6,71,27,3,71,779821,9,2015,1389,3,1989,1071,26,25-29,2,0,0,1,0,0,1
2755,71 27  4,ZZ6,71,27,4,71,779821,9,2015,1389,1,1988,1057,27,25-29,2,0,0,1,1,0,0
2756,71 28  1,ZZ6,71,28,1,71,779821,9,2015,1389,6,1966,798,49,45-49,8,1,2,0,0,4,1
2757,71 28  2,ZZ6,71,28,2,71,779821,9,2015,1389,3,1970,843,45,45-49,7,2,2,0,0,3,0
2758,71 28  8,ZZ6,71,28,8,71,779821,9,2015,1389,8,2000,1208,15,15-19,0,0,0,0,0,0,0
2759,71 29  2,ZZ6,71,29,2,71,779821,9,2015,1389,7,1989,1075,26,25-29,1,1,0,0,0,0,0
2760,71 31  4,ZZ6,71,31,4,71,779821,9,2015,1389,6,2000,1206,15,15-19,0,0,0,0,0,0,0
2761,71 31  5,ZZ6,71,31,5,71,779821,9,2015,1389,8,2000,1208,15,15-19,0,0,0,0,0,0,0
2762,72  1  2,ZZ6,72,1,2,72,640445,9,2015,1389,10,1992,1114,22,20-24,2,1,1,0,0,0,0
2763,72  2  2,ZZ6,72,2,2,72,640445,9,2015,1389,12,1975,912,39,35-39,5,1,4,0,0,0,0
2764,72  2  3,ZZ6,72,2,3,72,640445,9,2015,1389,5,1993,1121,22,20-24,1,1,0,0,0,0,0
2765,72  3  1,ZZ6,72,3,1,72,640445,9,2015,1389,3,1970,843,45,45-49,4,1,1,1,1,0,0
2766,72  3  3,ZZ6,72,3,3,72,640445,9,2015,1389,2,1990,1082,25,25-29,0,0,0,0,0,0,0
2767,72  4  2,ZZ6,72,4,2,72,640445,9,2015,1389,2,1986,1034,29,25-29,5,3,1,0,0,1,0
2768,72  5  2,ZZ6,72,5,2,72,640445,9,2015,1389,2,1967,806,48,45-49,5,4,1,0,0,0,0
2769,72  5  5,ZZ6,72,5,5,72,640445,9,2015,1389,4,1997,1168,18,15-19,0,0,0,0,0,0,0
2770,72  6  2,ZZ6,72,6,2,72,640445,9,2015,1389,10,1968,826,46,45-49,0,0,0,0,0,0,0
2771,72  6  3,ZZ6,72,6,3,72,640445,9,2015,1389,2,1975,902,40,40-44,7,4,2,0,1,0,0
2772,72  7  3,ZZ6,72,7,3,72,640445,9,2015,1389,6,1992,1110,23,20-24,2,0,2,0,0,0,0
2773,72  7  4,ZZ6,72,7,4,72,640445,9,2015,1389,3,1991,1095,24,20-24,2,1,1,0,0,0,0
2774,72  8  2,ZZ6,72,8,2,72,640445,9,2015,1389,12,1989,1080,25,25-29,4,2,2,0,0,0,0
2775,72  8  7,ZZ6,72,8,7,72,640445,9,2015,1389,3,1995,1143,20,20-24,0,0,0,0,0,0,0
2776,72  9  1,ZZ6,72,9,1,72,640445,9,2015,1389,2,1969,830,46,45-49,1,1,0,0,0,0,0
2777,72  9  6,ZZ6,72,9,6,72,640445,9,2015,1389,3,1975,903,40,40-44,2,0,0,1,1,0,0
2778,72  9  7,ZZ6,72,9,7,72,640445,9,2015,1389,10,1994,1138,20,20-24,0,0,0,0,0,0,0
2779,72 10  4,ZZ6,72,10,4,72,640445,9,2015,1389,8,1999,1196,16,15-19,0,0,0,0,0,0,0
2780,72 11  4,ZZ6,72,11,4,72,640445,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
2781,72 11  7,ZZ6,72,11,7,72,640445,9,2015,1389,2,1998,1178,17,15-19,1,0,1,0,0,0,0
2782,72 12  2,ZZ6,72,12,2,72,640445,9,2015,1389,8,1983,1004,32,30-34,7,3,4,0,0,0,0
2783,72 14  1,ZZ6,72,14,1,72,640445,9,2015,1389,4,1995,1144,20,20-24,0,0,0,0,0,0,0
2784,72 15  2,ZZ6,72,15,2,72,640445,9,2015,1389,9,1975,909,40,40-44,4,1,3,0,0,0,0
2785,72 15  3,ZZ6,72,15,3,72,640445,9,2015,1389,12,1997,1176,17,15-19,0,0,0,0,0,0,0
2786,72 16  2,ZZ6,72,16,2,72,640445,9,2015,1389,1,1987,1045,28,25-29,3,2,1,0,0,0,0
2787,72 16  3,ZZ6,72,16,3,72,640445,9,2015,1389,2,1998,1178,17,15-19,0,0,0,0,0,0,0
2788,72 17  9,ZZ6,72,17,9,72,640445,9,2015,1389,12,1993,1128,21,20-24,0,0,0,0,0,0,0
2789,72 18  2,ZZ6,72,18,2,72,640445,9,2015,1389,5,1990,1085,25,25-29,3,2,1,0,0,0,0
2790,72 19  2,ZZ6,72,19,2,72,640445,9,2015,1389,4,1980,964,35,35-39,3,0,3,0,0,0,0
2791,72 19  3,ZZ6,72,19,3,72,640445,9,2015,1389,3,1985,1023,30,30-34,1,1,0,0,0,0,0
2792,72 20  2,ZZ6,72,20,2,72,640445,9,2015,1389,1,1990,1081,25,25-29,2,1,1,0,0,0,0
2793,72 20  4,ZZ6,72,20,4,72,640445,9,2015,1389,9,1996,1161,19,15-19,0,0,0,0,0,0,0
2794,72 21  2,ZZ6,72,21,2,72,640445,9,2015,1389,1,1983,997,32,30-34,6,5,1,0,0,0,0
2795,72 21  3,ZZ6,72,21,3,72,640445,9,2015,1389,2,2000,1202,15,15-19,0,0,0,0,0,0,0
2796,72 22  3,ZZ6,72,22,3,72,640445,9,2015,1389,11,1974,899,40,40-44,2,1,1,0,0,0,0
2797,72 23  2,ZZ6,72,23,2,72,640445,9,2015,1389,1,1992,1105,23,20-24,3,2,1,0,0,0,0
2798,72 23  6,ZZ6,72,23,6,72,640445,9,2015,1389,3,1999,1191,16,15-19,0,0,0,0,0,0,0
2799,72 24  7,ZZ6,72,24,7,72,640445,9,2015,1389,8,1998,1184,17,15-19,0,0,0,0,0,0,0
2800,72 25  2,ZZ6,72,25,2,72,640445,9,2015,1389,2,1996,1154,19,15-19,1,1,0,0,0,0,0
