,hhid,Country code and phase,Cluster number,Household number,Respondent's line number,Ultimate area unit,Household sample weight,Month of interview,Year of interview,Date of interview,Number of household members,Number of eligible women in household,Number of eligible men in household,Number of de jure members,Number of de facto members,Number of children 5 and under (de jure),Result of household interview,Day of interview,Number of visits,Interviewer identification,Keyer identification,Ever-married sample,Primary sampling unit,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Place of residence,Household selected for male interview,Household weight for male subsample,Field supervisor,Field editor,Office editor,Number of eligible children for height and weight,Cluster altitude in meters,Total adults measured,Household selected for hemoglobin,Household selected for Domestic Violence module,Source of drinking water,Source of non-drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household
823,29 12,ZZ6,29,12,1,29,561362,6,2015,1386,8,2,1,8,8,3,completed,22,1,45,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,2,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,15,pit latrine with slab,no,yes,25
824,29 14,ZZ6,29,14,1,29,561362,6,2015,1386,9,2,0,9,9,1,completed,22,1,45,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,unprotected well,NA,2,pit latrine with slab,no,yes,49
825,29 15,ZZ6,29,15,1,29,561362,6,2015,1386,7,1,0,7,7,0,completed,21,1,45,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,,pit latrine without slab/open pit,no,yes,36
826,29 16,ZZ6,29,16,1,29,561362,6,2015,1386,4,1,0,4,4,0,completed,21,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,no facility/bush/field,no,yes,50
827,29 18,ZZ6,29,18,1,29,561362,6,2015,1386,1,0,0,1,1,0,completed,21,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,0,NA,0,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,pit latrine with slab,no,no,78
828,29 19,ZZ6,29,19,1,29,561362,6,2015,1386,6,1,1,6,6,2,completed,20,1,46,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,2,NA,2,selected,household selected,unprotected spring,NA,20,pit latrine without slab/open pit,no,yes,32
829,29 21,ZZ6,29,21,1,29,561362,6,2015,1386,5,2,0,5,5,0,completed,22,1,46,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,protected well,NA,15,ventilated improved pit latrine (vip),no,yes,35
830,29 22,ZZ6,29,22,1,29,561362,6,2015,1386,6,1,1,6,6,1,completed,21,1,46,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,0,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine without slab/open pit,no,yes,45
831,29 24,ZZ6,29,24,1,29,561362,6,2015,1386,5,1,0,5,5,2,completed,20,1,46,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,protected spring,NA,20,pit latrine with slab,no,yes,39
832,29 25,ZZ6,29,25,1,29,561362,6,2015,1386,7,1,2,5,7,3,completed,21,1,45,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,3,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,30,pit latrine without slab/open pit,no,yes,32
833,29 26,ZZ6,29,26,3,29,561362,6,2015,1386,10,2,0,10,10,2,completed,22,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,not selected,0,41,42,3,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,10,pit latrine with slab,no,yes,50
834,29 27,ZZ6,29,27,1,29,561362,6,2015,1386,2,0,1,2,2,0,completed,21,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,0,NA,1,selected,household selected,other,NA,,pit latrine with slab,no,yes,45
835,29 28,ZZ6,29,28,1,29,561362,6,2015,1386,3,0,0,3,3,0,completed,21,1,45,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,0,NA,0,selected,household selected,unprotected well,NA,4,pit latrine without slab/open pit,no,no,67
836,29 29,ZZ6,29,29,1,29,561362,6,2015,1386,5,1,1,5,5,2,completed,20,1,46,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,1,NA,2,selected,household selected,protected well,NA,60,ventilated improved pit latrine (vip),no,yes,35
837,29 30,ZZ6,29,30,1,29,561362,6,2015,1386,5,2,3,5,5,0,completed,21,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,0,NA,5,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,60,pit latrine with slab,no,no,36
838,29 31,ZZ6,29,31,1,29,561362,6,2015,1386,7,2,1,7,7,1,completed,21,1,44,6,all woman sample,29,19,region 4 - rural,region 4,rural,NA,men's survey,643456,41,42,3,1,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,pit latrine with slab,no,yes,30
839,30  1,ZZ6,30,1,2,30,532074,7,2015,1387,2,0,0,2,1,0,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,0,no facility/bush/field,no,no,53
840,30  2,ZZ6,30,2,2,30,532074,7,2015,1387,5,1,0,5,5,1,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,pit latrine without slab/open pit,no,yes,32
841,30  3,ZZ6,30,3,1,30,532074,7,2015,1387,8,0,1,8,7,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,2,NA,2,selected,household selected,unprotected well,NA,10,pit latrine without slab/open pit,no,yes,40
842,30  4,ZZ6,30,4,1,30,532074,7,2015,1387,5,0,0,5,4,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,9,ventilated improved pit latrine (vip),yes,yes,23
843,30  5,ZZ6,30,5,1,30,532074,7,2015,1387,7,1,2,6,6,1,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,4,selected,household selected,unprotected well,NA,20,pit latrine without slab/open pit,no,yes,60
844,30  6,ZZ6,30,6,1,30,532074,7,2015,1387,11,2,0,11,11,3,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,0,no facility/bush/field,no,no,70
845,30  7,ZZ6,30,7,1,30,532074,7,2015,1387,8,1,0,8,8,3,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,15,pit latrine without slab/open pit,no,yes,37
846,30  8,ZZ6,30,8,1,30,532074,7,2015,1387,6,2,0,6,6,2,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,ventilated improved pit latrine (vip),no,yes,45
847,30  9,ZZ6,30,9,1,30,532074,7,2015,1387,8,1,2,8,8,1,completed,6,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,3,selected,household selected,unprotected well,NA,0,pit latrine without slab/open pit,no,yes,21
848,30 10,ZZ6,30,10,1,30,532074,7,2015,1387,4,1,1,4,4,1,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,2,selected,household selected,unprotected well,NA,7,ventilated improved pit latrine (vip),no,no,26
849,30 11,ZZ6,30,11,2,30,532074,7,2015,1387,13,3,0,13,13,4,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,pit latrine with slab,no,yes,65
850,30 12,ZZ6,30,12,1,30,532074,7,2015,1387,3,1,0,3,3,1,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,no,28
851,30 13,ZZ6,30,13,1,30,532074,7,2015,1387,6,0,1,6,4,0,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,0,NA,3,selected,household selected,unprotected well,NA,0,no facility/bush/field,no,no,19
852,30 14,ZZ6,30,14,2,30,532074,7,2015,1387,8,2,0,8,6,3,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,2,NA,3,selected,household selected,unprotected well,NA,10,ventilated improved pit latrine (vip),no,no,40
853,30 15,ZZ6,30,15,1,30,532074,7,2015,1387,4,1,0,4,4,0,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,0,NA,1,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,68
854,30 16,ZZ6,30,16,1,30,532074,7,2015,1387,16,4,0,13,15,0,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,15,pit latrine without slab/open pit,no,yes,61
855,30 17,ZZ6,30,17,1,30,532074,6,2015,1386,7,2,0,7,7,1,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,2,selected,household selected,unprotected well,NA,10,ventilated improved pit latrine (vip),no,yes,65
856,30 18,ZZ6,30,18,1,30,532074,7,2015,1387,6,1,0,6,6,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,no facility/bush/field,no,yes,40
857,30 19,ZZ6,30,19,1,30,532074,7,2015,1387,5,1,0,5,5,3,completed,4,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,8,ventilated improved pit latrine (vip),no,yes,32
858,30 20,ZZ6,30,20,3,30,532074,7,2015,1387,8,2,0,8,8,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine without slab/open pit,no,yes,47
859,30 21,ZZ6,30,21,2,30,532074,7,2015,1387,3,1,0,3,3,1,completed,6,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,pit latrine without slab/open pit,no,no,78
860,30 22,ZZ6,30,22,1,30,532074,7,2015,1387,3,1,0,3,3,1,completed,6,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,1,selected,household selected,unprotected well,NA,10,no facility/bush/field,no,no,79
861,30 23,ZZ6,30,23,1,30,532074,7,2015,1387,17,2,3,17,17,4,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,3,NA,5,selected,household selected,unprotected well,NA,8,ventilated improved pit latrine (vip),no,yes,73
862,30 24,ZZ6,30,24,1,30,532074,7,2015,1387,11,0,0,11,11,3,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,0,pit latrine without slab/open pit,no,yes,56
863,30 25,ZZ6,30,25,1,30,532074,7,2015,1387,6,0,0,6,5,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,2,0,NA,0,not selected,household selected,unprotected well,NA,10,pit latrine without slab/open pit,no,no,30
864,30 26,ZZ6,30,26,1,30,532074,7,2015,1387,4,1,0,4,4,1,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,1,selected,household selected,unprotected well,NA,10,no facility/bush/field,no,yes,65
865,30 27,ZZ6,30,27,1,30,532074,7,2015,1387,5,1,1,5,5,0,completed,6,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,0,NA,2,selected,household selected,unprotected well,NA,10,pit latrine without slab/open pit,no,yes,35
866,30 28,ZZ6,30,28,1,30,532074,7,2015,1387,8,2,0,8,7,5,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,3,NA,2,selected,household selected,unprotected well,NA,10,ventilated improved pit latrine (vip),no,no,67
867,30 29,ZZ6,30,29,2,30,532074,7,2015,1387,10,2,2,10,10,2,completed,5,1,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,1,NA,4,selected,household selected,unprotected well,NA,0,pit latrine without slab/open pit,no,yes,38
868,30 30,ZZ6,30,30,2,30,532074,7,2015,1387,11,3,2,11,9,3,completed,6,2,124,28,all woman sample,30,10,region 1 - rural,region 1,rural,NA,men's survey,611198,121,122,2,3,NA,6,selected,household selected,unprotected well,NA,20,no facility/bush/field,no,no,52
869,31  1,ZZ6,31,1,1,31,1893899,8,2015,1388,6,0,0,6,6,1,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,55
870,31  2,ZZ6,31,2,1,31,1893899,8,2015,1388,8,2,0,8,8,2,completed,20,1,15,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,protected well,NA,0,ventilated improved pit latrine (vip),yes,yes,63
871,31  3,ZZ6,31,3,1,31,1893899,8,2015,1388,8,2,0,8,8,2,completed,18,1,15,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,40,pit latrine with slab,no,yes,42
872,31  4,ZZ6,31,4,1,31,1893899,8,2015,1388,9,2,1,9,9,0,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,3,selected,household selected,protected well,NA,0,pit latrine with slab,no,yes,62
873,31  5,ZZ6,31,5,2,31,1893899,8,2015,1388,2,1,0,2,2,0,completed,16,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,60,pit latrine without slab/open pit,yes,yes,35
874,31  6,ZZ6,31,6,2,31,1893899,8,2015,1388,4,1,1,4,4,1,completed,20,2,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,1,NA,2,selected,household selected,public tap/standpipe,NA,20,pit latrine with slab,no,yes,35
875,31  7,ZZ6,31,7,1,31,1893899,7,2015,1387,1,0,1,1,1,0,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,1,selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,29
876,31  8,ZZ6,31,8,2,31,1893899,8,2015,1388,2,1,0,2,2,0,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,piped to yard/plot,NA,0,pit latrine with slab,yes,yes,32
877,31  9,ZZ6,31,9,2,31,1893899,8,2015,1388,10,3,1,10,10,3,completed,18,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,2,NA,4,selected,household selected,public tap/standpipe,NA,10,pit latrine with slab,yes,yes,49
878,31 10,ZZ6,31,10,1,31,1893899,8,2015,1388,3,1,0,3,3,1,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine without slab/open pit,no,no,43
879,31 11,ZZ6,31,11,2,31,1893899,8,2015,1388,9,1,0,9,9,1,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,unprotected well,NA,10,pit latrine with slab,yes,yes,55
880,31 12,ZZ6,31,12,1,31,1893899,8,2015,1388,1,0,0,1,1,0,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,25
881,31 13,ZZ6,31,13,2,31,1893899,8,2015,1388,8,3,3,8,8,0,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,6,selected,household selected,public tap/standpipe,NA,60,ventilated improved pit latrine (vip),no,yes,44
882,31 14,ZZ6,31,14,3,31,1893899,8,2015,1388,10,2,0,10,10,2,completed,17,1,15,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,15,ventilated improved pit latrine (vip),no,yes,56
883,31 15,ZZ6,31,15,1,31,1893899,8,2015,1388,5,1,0,5,5,1,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,50
884,31 16,ZZ6,31,16,2,31,1893899,8,2015,1388,7,1,3,7,7,1,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,1,NA,4,selected,household selected,public tap/standpipe,NA,45,pit latrine without slab/open pit,yes,yes,25
885,31 17,ZZ6,31,17,1,31,1893899,8,2015,1388,9,2,1,9,9,2,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,2,NA,3,selected,household selected,public tap/standpipe,NA,15,ventilated improved pit latrine (vip),yes,no,55
886,31 18,ZZ6,31,18,1,31,1893899,7,2015,1387,7,1,4,7,7,0,completed,20,2,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,5,selected,household selected,public tap/standpipe,NA,25,pit latrine with slab,yes,no,52
887,31 19,ZZ6,31,19,1,31,1893899,8,2015,1388,7,2,0,7,7,0,completed,20,2,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,50,pit latrine without slab/open pit,yes,yes,47
888,31 20,ZZ6,31,20,1,31,1893899,8,2015,1388,5,1,0,5,5,1,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,15,pit latrine with slab,no,no,40
889,31 21,ZZ6,31,21,1,31,1893899,8,2015,1388,1,0,0,1,1,0,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,bottled water or sachets,NA,5,pit latrine with slab,no,yes,25
890,31 22,ZZ6,31,22,2,31,1893899,7,2015,1387,6,2,0,6,6,2,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,12,pit latrine with slab,no,yes,32
891,31 23,ZZ6,31,23,1,31,1893899,8,2015,1388,4,1,0,4,4,2,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,not selected,0,31,32,8,0,NA,0,not selected,household selected,public tap/standpipe,NA,5,pit latrine with slab,no,yes,25
892,31 25,ZZ6,31,25,1,31,1893899,8,2015,1388,9,2,4,9,9,3,completed,17,1,15,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,2,NA,6,selected,household selected,protected well,NA,15,ventilated improved pit latrine (vip),no,yes,58
893,31 26,ZZ6,31,26,1,31,1893899,8,2015,1388,10,3,0,10,10,1,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,1,NA,3,selected,household selected,public tap/standpipe,NA,12,ventilated improved pit latrine (vip),no,yes,30
894,31 27,ZZ6,31,27,1,31,1893899,8,2015,1388,2,0,1,2,2,1,completed,20,2,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,1,NA,1,selected,household selected,public tap/standpipe,NA,25,ventilated improved pit latrine (vip),yes,yes,31
895,31 28,ZZ6,31,28,1,31,1893899,8,2015,1388,3,1,0,3,3,2,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,2,NA,1,selected,household selected,protected well,NA,10,pit latrine with slab,no,yes,24
896,31 29,ZZ6,31,29,2,31,1893899,8,2015,1388,5,2,1,5,5,0,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,3,selected,household selected,public tap/standpipe,NA,10,ventilated improved pit latrine (vip),no,yes,37
897,31 30,ZZ6,31,30,1,31,1893899,8,2015,1388,2,0,2,2,2,0,completed,20,1,36,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,0,NA,2,selected,household selected,protected well,NA,5,pit latrine with slab,no,yes,36
898,31 31,ZZ6,31,31,1,31,1893899,8,2015,1388,7,2,1,7,7,2,completed,20,1,34,25,all woman sample,31,21,region 4 - urban,region 4,urban,NA,men's survey,1491565,31,32,8,2,NA,3,selected,household selected,protected well,NA,15,pit latrine with slab,no,no,38
899,32  1,ZZ6,32,1,1,32,1762246,9,2015,1389,15,4,1,15,15,3,completed,8,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,2,NA,5,selected,household selected,public tap/standpipe,NA,25,flush to septic tank,yes,yes,NA
900,32  2,ZZ6,32,2,1,32,1762246,9,2015,1389,2,1,0,2,2,0,completed,9,1,246,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,5,flush to septic tank,yes,yes,38
901,32  3,ZZ6,32,3,1,32,1762246,9,2015,1389,8,2,0,8,8,1,completed,6,1,241,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,60,pit latrine with slab,yes,yes,43
902,32  4,ZZ6,32,4,1,32,1762246,9,2015,1389,6,3,3,6,6,0,completed,6,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,6,selected,household selected,public tap/standpipe,NA,20,flush to septic tank,yes,yes,47
903,32  5,ZZ6,32,5,1,32,1762246,9,2015,1389,6,1,3,6,6,0,completed,6,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,4,selected,household selected,public tap/standpipe,NA,35,pit latrine with slab,yes,yes,63
904,32  6,ZZ6,32,6,1,32,1762246,9,2015,1389,5,2,0,5,5,0,completed,8,1,246,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,65,flush to septic tank,yes,yes,54
905,32  7,ZZ6,32,7,1,32,1762246,9,2015,1389,3,0,0,3,3,0,completed,9,1,241,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,0,flush to septic tank,yes,yes,42
906,32  8,ZZ6,32,8,1,32,1762246,9,2015,1389,7,4,0,7,7,0,completed,7,1,241,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,15,pit latrine with slab,yes,yes,38
907,32  9,ZZ6,32,9,1,32,1762246,9,2015,1389,5,3,1,5,5,0,completed,8,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,4,selected,household selected,public tap/standpipe,NA,20,flush to septic tank,yes,yes,56
908,32 10,ZZ6,32,10,1,32,1762246,9,2015,1389,3,1,0,3,3,0,completed,10,3,246,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,5,flush to septic tank,yes,yes,38
909,32 11,ZZ6,32,11,1,32,1762246,9,2015,1389,3,2,0,3,3,0,completed,8,1,246,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,65,flush to septic tank,yes,yes,34
910,32 12,ZZ6,32,12,1,32,1762246,9,2015,1389,1,0,1,1,1,0,completed,6,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,1,selected,household selected,public tap/standpipe,NA,20,pit latrine with slab,yes,yes,36
911,32 13,ZZ6,32,13,1,32,1762246,9,2015,1389,7,1,0,7,7,0,completed,6,1,246,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,60,flush to septic tank,yes,yes,46
912,32 14,ZZ6,32,14,1,32,1762246,9,2015,1389,3,0,2,3,3,0,completed,8,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,2,selected,household selected,public tap/standpipe,NA,30,pit latrine with slab,yes,yes,80
913,32 15,ZZ6,32,15,1,32,1762246,9,2015,1389,9,1,5,9,9,1,completed,8,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,6,selected,household selected,bottled water or sachets,NA,30,flush to septic tank,yes,yes,56
914,32 16,ZZ6,32,16,4,32,1762246,9,2015,1389,5,1,3,5,5,0,completed,8,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,4,selected,household selected,public tap/standpipe,NA,20,flush to septic tank,yes,yes,35
915,32 17,ZZ6,32,17,1,32,1762246,9,2015,1389,7,2,1,7,7,1,completed,9,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,3,selected,household selected,public tap/standpipe,NA,39,pit latrine with slab,yes,yes,35
916,32 18,ZZ6,32,18,1,32,1762246,9,2015,1389,7,2,2,6,7,0,completed,9,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,4,selected,household selected,bottled water or sachets,NA,5,flush to septic tank,yes,yes,34
917,32 19,ZZ6,32,19,1,32,1762246,9,2015,1389,6,2,0,6,6,1,completed,6,1,241,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,not selected,0,231,152,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,20,pit latrine with slab,yes,yes,57
918,32 20,ZZ6,32,20,1,32,1762246,9,2015,1389,5,1,2,5,5,1,completed,9,1,66,14,all woman sample,32,15,region 3 - urban,region 3,urban,NA,men's survey,1389370,231,152,2,0,NA,3,selected,household selected,bottled water or sachets,NA,10,flush to septic tank,yes,yes,53
